id,deckid,deckname,name,type,amount,level,actions,kost,attributes,attackType,damage,damageType,effect,mechanics,image,print,lp,mind,strength,reflex,icon,uses,passive,defeatcondition,locationType,exloreCondition,exploreTarget
AC,AC,Acolyth,Acolyth,Background,1,,,,,,,,"when you succeed a research check, you store 1 #mnd#",,,True,15,3,1,2,,,,,,,
AM-002,AC,Acolyth,Arcane Observation,Maneuver,1,1,,1,mind|mind|mind,,,,Target may search 3,,,True,,,,,,,,,,,
AM-012,AC,Acolyth,Intens Consentration,Maneuver,2,1,,1,mind|strength|reflex,,,,Your next attack deals +2 damage,,,True,,,,,,,,,,,
AM-015,AC,Acolyth,Recollect studies,Maneuver,2,1,,1,mind|mind|reflex,,,,Draw 2,,,True,,,,,,,,,,,
ET,ET,Entertainer,Entertainer,Background,1,,,,,,,,"When aiding in a conversation, you can add all your #rfx# to the result of the check",,,True,15,3,2,1,,,,,,,
AM-022,ET,Entertainer,Charismatic Proformance,Maneuver,1,1,,1,mind|mind|reflex,,,,"Draw 1.<br />used for check, add 1 #luck# to your result.",,,True,,,,,,,,,,,
AM-023,ET,Entertainer,Comfort Hug,Maneuver,2,1,,1,mind|mind|strength,,,,Target Gains 3 #def#,,,True,,,,,,,,,,,
AM-024,ET,Entertainer,Encoragement,Maneuver,2,1,,1,mind|reflex|strength,,,,Target Deals 1 more damage,,,True,,,,,,,,,,,
SC,SC,Scout,Scout,Background,1,,,,,,,,"When you succeed on a observation check, on you next check you may draw 2 cards",,,True,15,1,2,3,,,,,,,
AM-010,SC,Scout,Hyper awarnes,Maneuver,1,1,,2,strength|reflex|reflex,,,,Ignore one attack,,,True,,,,,,,,,,,
AM-006,SC,Scout,Foward Scouting,Maneuver,2,1,,1,mind|strength|reflex,,,,reveal target action,,,True,,,,,,,,,,,
TR-001,SC,Scout,Snare Trap,Trap,2,1,,1,mind|reflex|reflex,,,,"Target by mele attack, Discard  that attack",,,True,,,,,,,,,,,
SO,SO,Barbarian,Barbarian,Background,1,,,,,,,," when you fail a check, you store 1 #str#",,,True,15,1,3,2,,,,,,,
TR-008,SO,Barbarian,Counter Strike,Trap,1,1,,1,mind|strength|strength,,,,"Targted by mele attack, Deal 3 #sharp-dmg# to Attacker",,,True,,,,,,,,,,,
AM-004,SO,Barbarian,Feel no pain,Maneuver,2,1,,1,mind|strength|reflex,,,,Ignore 3 damage,,,True,,,,,,,,,,,
AM-005,SO,Barbarian,Fight Instinct,Maneuver,2,1,,1,strength|strength|reflex,,,,You get 2 #hasted# status.,,,True,,,,,,,,,,,
AD,AD,Fangs of Zephyr,Fangs of Zephyr,Artifact,1,,3,,,,,,,At the start of the round you may move a mark-token to a new Target. If there is no mark-token om the battle field you can place one on a target.,AD,True,,,,,,,,,,,
AM-008,AD,Fangs of Zephyr,Guiding gust,Maneuver,1,1,,1,luck|luck,,,,Target gets 2 #hasted# status,,AD,True,,,,,,,,,,,
AA-004,AD,Fangs of Zephyr,Chain barage,Attack,1,1,,1,reflex|reflex|reflex,Ranged Attack,2,#sharp-dmg#,all your next attacks deals +1 damage,,AD,True,,,,,,,,,,,
AD-AA-003,AD,Fangs of Zephyr,Breath cut,Attack,2,1,,1,reflex|reflex,Mellee Attack,1,#sharp-dmg#,If target has #marked#: they discard one spell action,,AD,True,,,,,,,,,,,
AA-007,AD,Fangs of Zephyr,Flying dagger,Attack,2,1,,1,mind|stregnth|stregnth,Ranged Attack,3,#sharp-dmg#,target must be #marked#,,AD,True,,,,,,,,,,,
AA-035,AD,Fangs of Zephyr,Phantom Blade Slice,Attack,2,1,,1,mind|strength|reflex,Mellee Attack,2,#sharp-dmg#,"add one ''Arial strike"" to you discard pile",,AD,True,,,,,,,,,,,
AM-001,AD,Fangs of Zephyr,Airal windup,Maneuver,2,1,,2,strength|reflex|reflex,,,,"Add 3 ""Arial strike""'s to your Discard pile",,AD,True,,,,,,,,,,,
PB,PB,Preacher book,Preacher book,Artifact,1,,3,,,,,,,Prologue = get an extra effect when this is your first action <br />Epilogue = get an extra effect when this is your last action,PB,True,,,,,,,,,,,
AA-032,PB,Preacher book,Revange of the Librarian,Attack,1,1,,2,luck|luck,Ranged Spell Attack,3,#blunt-dmg#,"Épilogue, other target Draws 2",,PB,True,,,,,,,,,,,
AM-021,PB,Preacher book,Encour,Maneuver,1,1,,1,mind|mind|mind,,,,Trigger previous attack again.,,PB,True,,,,,,,,,,,
